               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097059,            0.026261,                   0,            0.027274,                0.52,            0.068133,            0.022004,            0.076323,            0.015266,                   0,            0.070469,           0.0032813,           0.0032813
                   1,            0.068808,            0.020809,                   0,             0.24383,                 0.6,             0.22915,            0.055554,            0.073387,             0.01005,                   0,            0.039159,           0.0053049,           0.0053049
                   2,            0.056824,            0.019382,                   0,             0.46666,                0.56,             0.50483,             0.18887,            0.070777,           0.0079613,                   0,           0.0065294,           0.0060085,           0.0060085
                   3,             0.04811,            0.017489,                   0,             0.78202,             0.86138,             0.89349,             0.44266,            0.040672,           0.0073936,                   0,             0.00406,             0.00406,             0.00406
                   4,             0.04315,            0.015007,                   0,             0.91946,             0.91357,             0.92374,             0.52071,             0.03968,           0.0066085,                   0,             0.00406,             0.00406,             0.00406
